RAZONSOCIAL;NOMBRECOMERCIAL;DIRECCION;SITIOWEB;EMAIL;TELEFONO;TELEFONO2;FAX;PRODUCTOS;EMPLEOTOTAL;RANGOFACTURACION;IMPORTA;EXPORTA;FECHAACTUALIZACION
ABG ASTOUR BUREAU GESTION, S.L.;NEOGRAFICO IMAGEN GLOBAL;AV. DE LA COSTA, Nº 52 - 4º J 33201 GIJON ASTURIAS;;neo@neografico.com;98.535.31.37;;98.429.31.37;Diseño gráfico, desarrollo de imagen corporativa (papelería, rotulación, señalética, cartelería, catálogos, etc.), patrocinios y eventos Campañas publicitarias, proyectos multimedia, diseño de páginas web;1;n.d.;;;31/07/2025
ABNET SISTEMAS, S.L.;ABNET;C/ IDELFONSO SANCHEZ DEL RIO 4, 1º A 33163 MORCIN ASTURIAS;http://www.abnet.es;comercial@abnet.es;98.511.65.00;;98.511.63.72;Instalación de redes telemáticas, Fibra óptica, Radio frecuencia- WIMAX, Video vigilancia IP, Centralitas IP, Soluciones informáticas en entornos empresariales, administración pública. Soluciones de alta disponibilidad, entorno de servidores CAD.;;n.d.;;;31/07/2025
ABSTRACTA, C.B.;ABSTRACTA DISEÑO Y ROTULACION;TRAVESIA DEL CRISTAL, 17 33401 AVILES ASTURIAS;http://www.abstractadigital.com/;info@abstractadigital.com;98.556.66.82;;;Diseño, fabricacion y montaje de stands para ferias, decorados para congresos, rotulaciones de todo tipo, luminosos, neon, diseño gráfico. Especialidad: montaje de stands y luminosos para franquicias por toda España.;2;n.d.;;si;31/07/2025
ACE EDICIONES PUBLICIDAD DISEÑO S.L.;;LONGORIA CARBAJAL 3, 2º D 33002 OVIEDO ASTURIAS;http://www.acepublicidad.com;ace@acepublicidad.com/ ace@acepublicidad.e.telefonica.net;98.521.19.18;;98.522.97.03;Publicidad, diseño gráfico y relaciones públicas, ediciones;;n.d.;;;31/07/2025
ACEROS TRANSFORMADOS ATRAX, S.L.;PREMIN;POL. IND. MACUA, PARCELA 21, A 33440 GOZON ASTURIAS;http://www.acerostransformadosatrax.com/;info@acerostransformadosatrax.com;98.554.76.06;;98.554.74.70;Carpintería metálica. Diseño y fabricación de construcciones metálicas, construcción de modulos para oficinas almacenes, vestuarios para la obra. Panel sandwich;;n.d.;;;01/10/2025
ACUSTICA Y MEDIO AMBIENTE, S.L.;ACUSMED;C/ ALCALDE FCO. OREJAS SIERRA, Nº 8, ENTRESUELO E-2 33400 AVILES ASTURIAS;http://www.acusmed.com;administracion@acusmed.com;98.551.44.26;;98.551.65.15;ACUSTICA: Laboratorio de ensayo acreditado por la ENAC ( mediciones de ruido ambiental, modelización y predicción de ruido ambiental, informes). CONSULTORIA (Diagnósticos, implantación de sistemas de gestión de la calidad y medioambiental, OHSAS, I+D+i, Ecodiseño, informes ambientales, AAI, memorias de sostenibilidad, auditorías internas, planes de emergencia). FORMACION: Cursos a la carta, cursos prácticos.;;n.d.;;;31/07/2025
ACUÑA Y FOMBONA, S.A.;ACUÑA Y FOMBONA;MARQUES DE CASA VALDES, 103-105 BAJO 33202 GIJON ASTURIAS;http://www.acuna-fombona.com;atencioncliente@acuna-fombona.com;98.536.32.11;;98.513.15.02;Venta de productos ortopédicos y médico quirúrgicos. Comercio al por mayor de material protésico;;n.d.;;;31/07/2025
ADANEZ CLINICA DENTAL, E.I.;;DR.CASAL ,12 ,4º D 33001 OVIEDO ASTURIAS;https://www.adanezclinicadental.es/;info@adanezclinicadental.es;98.521.79.67;;;CLINICA DENTAL, ATENCION ODONTOLOGICA;1;n.d.;;;31/07/2025
ADAPTRANS ASTURIAS, S.L.;ADAPTRANS;CTRA. OVIEDO - SANTANDER, KM. 8 (MERES) 33199 SIERO ASTURIAS;http://www.adaptrans.com;info@adaptrans.com;98.410.39.39;;;Transporte de viajeros, líneas regulares y discrecionales, sevicio especializado de transporte adaptado.;;n.d.;;;11/08/2025
ADARO TECNOLOGIA, S.A.;ADARO;C/JIMENA FERNANDEZ DE LA VEGA, 38 , APDO. CORREOS 6007. EDIFICIO ADARO 33203 GIJON ASTURIAS;http://www.adaro.es;info@adaro.es;98.534.78.06/07/08/09;;98.535.83.78;Lamparas eléctricas de casco para minería, equipos cargadores, detectores de gases, linternas industriales de seguridad, automatismos. Linternas de seguridad, lámparas de mina;;n.d.;si;si;01/10/2025
ADECCO TRABAJO TEMPORAL, S.A.;ADECCO TT;AV. DE LA COSTA 42 33205 GIJON ASTURIAS;http://www.adecco.es;;98.552.58.16;;98.552.71.62;Selección de personal.;;n.d.;;;01/10/2025
ADOBER ELECTRICIDAD, S.L.;;C/MARIE CURIE, 41 33211 GIJON ASTURIAS;http://www.adober.es;adober@adober.es;98.530.89.41;;98.530.89.41;Instalaciones de climatización y ventilación Instalaciones eléctricas, electrónicas y de telecomunicaciones, climatización, detección y extinción de incendios. Montaje y mantenimiento industrial. Reparación de maquinaria.;;n.d.;;;31/07/2025
ADPAN EUROPA, S.L.;;LA SOTA, 1, 1º A 33186 SIERO ASTURIAS;http://www.adpan.es;comercial@adpan.es;98.574.36.27;;98.574.37.20;Fabricante de productos sin gluten dietéticos.;;n.d.;;;31/07/2025
ADVANCED SIMULATION TECHNOLOGIES, S.L.;AST INGENIERIA;C/ PROFESOR POTTER 126, PLANTA 1 - PARQUE CIENTIFICO TECNOLOGICO DE GIJON 33203 GIJON ASTURIAS;http://www.ast-ingenieria.com;info@ast-ingenieria.com;98.509.92.11;;;Simulación y ensayo. Simulación mecánica. Simulación CFD. Simulación de sistemas logísticos de fabricación y servicios. Desarrollo de productos. Diseño industrial.;;n.d.;si;si;31/07/2025
AESVAL LOGICA DE VALORACIONES, S.A.;AKROTIRI-ITE;C/ ALONSO QUINTANILLA 3-1ºH 33007 OVIEDO ASTURIAS;http://www.aesval.es;servicioscentrales@aesval.es;98.520.76.40;902.157.594;98.520.95.69;Sociedad consultora para la valoración económica de bienes y activos de toda clase. Sociedad de tasación homologada por el Banco de España, código 4499. Valoración de empresas, activos, negocios, inventarios, patrimoniales, gestión inmobiliaria, gestión hipotecaria. Consultoría de valor, estudios económicos e implantaciones de escenarios diversos de obras inmobiliarias Inspecciones técnicas de edificios. Programas de mantenimiento de edificación. Software técnico de edificación. Programa SEITE. Sistema experto de inspección técnica de edificios. Certificación energética de edificios;;n.d.;;;31/07/2025
AFILADOS PRINCIPADO, S.A.;AFILADOS PRINCIPADO;CTRA. OVIEDO-SANTANDER (FRENTE POL. INDUSTRIAL PRONI-MERES) 33199 SIERO ASTURIAS;http://www.afiladosprincipado.es;afiprin@yahoo.es;98.579.45.06;;98.579.43.55;Sierra de cinta, sierra circular, sierras alternativas, herramientas para metal, afilado de herramientas, comercialización de herramientas de corte. Sierra de cinta, sierra circular, sierras alternativas, herramientas para metal, afilado de herramientas, comercialización de herramientas de corte.;8;n.d.;si;si;31/07/2025
AFILADOS VILLAZON, S.L.;AVISA;CRTA. GENERAL 634. VILLAZON 37 33868 SALAS ASTURIAS;;;98.583.42.75;;98.583.42.75;Fabricación y mantenimiento de cintas y discos para sierras. Material para aserradero.;;n.d.;;;31/07/2025
AGAR DE ASTURIAS, S.A.;;BRICIA, S/N, POSADA DE LLANES 33594 LLANES ASTURIAS;http://www.agardeasturias.com/;info@agardeasturias.com;98.540.72.92;;98.540.76.03;Agar de calidad bacteriológica.;;n.d.;si;si;01/10/2025
AGENCIA DE TRANSPORTES ROBLEDO, S.L.;ROBLEDO LOGISTICS;C/ GENERAL S/N 33584 PILOÑA ASTURIAS;https://robledologistics.com/;asturias@robledologistics.com;98.460.83.00;;;Transporte internacional de mercancías por carretera;;n.d.;;;31/07/2025
AGLOMERADOS ASFALTICOS, S.A.;AGASA;C/ URIA, 20 - 2º IZDA. 33003 OVIEDO ASTURIAS;http:\\aglomeradosasfalticos.wordpress.com;agloasfa@flcnet.es;98.523.76.30;;98.523.76.30;Construcción de carreteras y autopistas. Aglomerados, emulsiones asfálticas.;;n.d.;;;31/07/2025
AGROMAQUINARIA GIJON, S.L.;ARIAMOTOR;C/ SIGMUND FREUD, 190 - NAVE 13. POL. IND. ROCES Nº 2 33392 GIJON ASTURIAS;https://ariamotor.es/es/;agromaq@telefonica.net;98.514.53.56;985.384.102;98.514.79.87;Recambios agrícolas.;;n.d.;si;si;31/07/2025
AGROPECUARIA DE SIERO, SOCIEDAD COOPERATIVA ASTUR;COOPERATIVA AGROPECUARIA DE SIERO;LA CARRERA, 14. POLA DE SIERO 33519 SIERO ASTURIAS;http://www.agropecuariasiero.es;cooperativa@agropecuariasiero.es;98.572.07.38;;98.572.10.78;Piensos, fertilizantes, semillas, ferretería. Asesoramiento veterinario;;n.d.;;;01/10/2025
AGRUPACION ASTURIANA DE ALMACENISTAS DE SAL, S.A.;AGRUPASAL;APARTADO DE CORREOS, 48 33280 GIJON ASTURIAS;https://www.agrupasal.es/;oficina.agrupasal@gmail.com;98.532.00.03;;98.532.16.44;Almacenamiento de sal y harinas.;;n.d.;;;22/09/2025
AGUAS DE CUEVAS, S.A.;AGUA DE CUEVAS;CTRA. AS-253, KM. 13, 250. CUEVAS DE FELECHOSA 33688 ALLER ASTURIAS;http://www.aguadecuevas.es/;aguadecuevas@aguadecuevas.com;98.548.75.33;;98.548.75.51;Agua mineral natural embotellada.;;n.d.;;;31/07/2025
AIR DIGITAL, S.A.;;C/ RIVERO, 99 33400 AVILES ASTURIAS;http://www.air.es;;98.512.97.00;902.092.233;98.512.92.12;Asesoramiento y consulting en telecomunicaciones (centrales telefónicas, operador de telefonía, internet, ISP (ADSL)...) I+D La comercialización y asesoramiento de productos y servicios de telecomunicaciones comercialización y asesoramiento de productos y servicios relacionados con internet;;n.d.;;;31/07/2025
AIRCONTEC, S.L.;AIRCONTEC, S.L.;CTRA. CANDAS-TABAZA KM 7,45 33438 CARREÑO ASTURIAS;http://www.aircontec.es;aircontec@aircontec.es;98.556.51.35;;98.552.20.67;Instalación de aire acondicionado.;;n.d.;si;;31/07/2025
AISLAMIENTOS AINCO, S.L.;AINCO;POL. IND. FALMURIA, AVDA. GUIMARAN, 4 - 5 33438 CARREÑO ASTURIAS;http://www.ainco.org;info@ainco.org;98.588.79.12;;98.588.79.11;Ventilación y aislamientos. Calorifugado.;;n.d.;;;31/07/2025
AISLAMIENTOS NAVIA, S.L.;;POL. IND. RIO PINTO, FASE I-II P 47. JARRIO 33795 COAÑA ASTURIAS;http://www.aislamientosnavia.com;info@aislamientosnavia.com;98.547.41.31;;98.547.41.32;Construcción y montaje de estructuras metálicas y edificios prefabricados: naves, marquesinas de gasolineras, casetas modulares, etc. Aislamientos industriales, calorifugado industrial y conductos de ventilación.;;n.d.;;;31/07/2025
AKROTIRI PROGRAMAS TECNICOS DE EDIFICACION, S.L.;AKROTIRI-ITE;C/ FRUELA, 12, 1º, OFIC. 1-2 33007 OVIEDO ASTURIAS;http://www.akrotiri-soft.com;info@akrotiri-soft.com;;902.157.594;98.520.95.69;Elaboración de programas informáticos especializados en la redacción de informes técnicos para el estado e inspección de edificaciones;;n.d.;;;31/07/2025
ALASTUR, S.L.;ALASTUR;POL. IND. ASIPO, CALLE B, PARCELA 40 33428 LLANERA ASTURIAS;http://www.alastur.es;alastur@alastur.es;98.526.41.26/07.39/66.66;;98.526.07.21;Venta de mármoles, granitos, pizarra, Neolilth-Silestone-Compac;;n.d.;si;;31/07/2025
ALAVISTA STUDIO, S.L.;;CTRA. PILES-INFLANZON, 652. VIVERO DE EMPRESAS OFICINA 3.0 33203 GIJON ASTURIAS;http://www.alavista.com.es/;info@alavista.com.es;;;;Servicios de inteligencia (Automatización y control, SmartCities, Inteligencia artificial y Metaheuríticas, Visión por ordenador) y Servicios software (Servicios Cloud, Aplicaciones Móviles, Estrategias digitales y social Media, Consultoría T.I. Outsourcing T.I.) Soluciones tecnológicas de sensórica y sistemas embebidos;;n.d.;;;07/08/2025
ALBEN INGENIERIA Y MARKETING ASTURIAS, S.L.;ALBEN;C/ MAGNUS BLIKSTAD, 58, OFICINA 6 33207 GIJON ASTURIAS;https://www.alben.es;info@alben.es;98.439.72.54;;98.439.73.05;Tiendas virtuales: prestashop y wordpress con woocommerce.Posicionamiento natural SEOMarketing digital. SEM.Mantenimiento web y soporte técnico para web.Alojamientos y dominios web. Estudios de mercado, estudios de opinión pública, estudios de satisfacción de clientes, estudios de geomarketing, asesoramiento en marketing, I+D+i, fidelización de clientes.Metodología: encuestas personales, encuestas telefónicas, encuestas web, encuestas en profundidad, dinámicas de grupo, focus group, mystery shopper, panelistas. Programación a medida. Consultoría informática, desarrollo de software genérico del sector de la moda y calzado, software de inmobiliarias. Aplicaciones web, herramientas ad-hoc.;;n.d.;si;;31/07/2025
ALBERTO ALVAREZ, E.I.;ADMIRIA;C/ DEL PRADO, 20, ATICO IZQUIERDA 33401 AVILES ASTURIAS;http://www.admiria.es;info@admiria.es;;;;Dirección de arte y diseño gráfico, Gráfica publicitaria, Identidad corporativa, Naming y registro de marcas en la OEPM, Packaging/gráfica de producto, Diseño editorial, Fotografía publicitaria y de producto. Project manager, Marketing y comunicación visual, Implementación web profesional (Estrategia de contenidos, Optimización SEO, Diseño web, maquetación, Programación, Community manager). Publicidad y branding (Dirección creativa publicitaria, Contratación de medios). Especialistas marketing y optimización de recursos, publicidad, diseño de packaging, envases, etiquetas..., orientados sobre todo a PYMES y especializados en el sector alimentación. Asesoría gratuita al cliente buscando aumento de ventas y la reducción de costes en la empresa. Marketing operativo;1;n.d.;;;31/07/2025
ALBERTO BARBOSA ALARMA, E.I.;BITA ESTUDIO;;http://www.bitaestudio.com/;alberto.barbosa@bitaestudio.com;;;;Interiorismo, arquitectura técnica y metolología BIM. Diseño de interiores, distribución de espacios selección de mobiliario, planificación de cocinas, diseño de vestidores y armarios, planificcaión de espacios de trabajo, estudio de iluminación, segumiento de obra, visualización 3D;1;Entre 0 y 150.000;;;30/07/2025
ALBERTO GOMBAU, E.I.;PROYECTO GRAFICO (PG);C/ RIO EO 15, 5ºD 33210 GIJON ASTURIAS;https://proyectografico.com/;info@proyectografico.com;98.419.70.00;;;Diseño Grafico;;n.d.;;;31/07/2025
ALBORNOZ Y ASOCIADOS, S.L.;ALBORNOZ DISEÑO PUBLICITARIO;PLAZA LONGORIA CARBAJAL, 3, 2ºD 33002 OVIEDO ASTURIAS;http://www.albornozyasociados.com;agencia@albornozyasociados.com;98.520.61.03;;98.520.76.07;Agencia de publicidad, campañas, comunicación, publicidad digital, creatividad. Estudio de diseño. Diseños a medida de catálogos, identidad corporativa, cartelería, páginas Web, CD Rom, maqueta, rótulo, valla, stand, packaging, infografías y animaciones multimedia. Marketing on-line y tiendas on-line Estudio de diseño. Diseños a medida de catálogos, identidad corporativa, cartelería, páginas web, CD Rom, maqueta, rótulo, valla, stand, packaging. Infografías y animaciones 3D, multimedia.;;n.d.;;;31/07/2025
ALEASTUR INNOVATION CENTER, S.L.;CINNO;POL. IND. MAQUA, S/N. ZELUAN. APDO. 371 33400 GOZON ASTURIAS;https://www.aleasturgroup.com/es/;info@aleasturgroup.com;;;;Actividad investigativa, de desarrollo e innovación están basadas en los siguientes conceptos: Fábrica Inteligente, Fabricación aditiva, Economía circular;;n.d.;;;31/07/2025
ALEJANDRA ALONSO GONZALEZ, E.I.;DISFRACESENLANUBE.ES;C/ MEJICO, Nº 19 - BCG 33011 OVIEDO ASTURIAS;https://www.disfracesenlanube.es;info@disfracesenlanube.es;;;;Disfraces para Halloween, disfraces para carnaval, disfraces para Navidad, disfraces para fiestas temáticas, disfraces para cumpleaños, disfraces para regalar, disfraces con licencia (Disney, Marvel, Star Wars, Tortugas Ninja, Cazafantasmas, etc.), disfraces eróticos, disfraces de sevillanas, disfraces para el Oktoberfest, disfraces de tallas grandes, disfraces de películas y un montón de opciones. Complementos y accesorios para completar cada disfraz.;2;n.d.;;;31/07/2025
ALEJANDRO FANJUL GARCIA, E.I.;VISION3D;C/ VICENTE JOVE, Nº 33- 1º 33212 GIJON ASTURIAS;http://www.vision3d.es;afanjul@vision3d.es;98.535.05.32;;;Estudio profesional dedicado a la visualización 3d digital de proyectos: instalaciones industriales, arquitectónicos, diseño de interiores y diseño de producto;1;Entre 0 y 150.000;;;31/07/2025
ALEJANDRO RODRIGUEZ FERNANDEZ, E.I.;HUELLA PRODUCCIONES;JUAN ESCALANTE DE MENDOZA 12 2ºA 33009 OVIEDO ASTURIAS;http://www.huellaproducciones.com;info@huellaproducciones.com;64.984.93.66;;;Huella es una empresa de producción audiovisual especializada en el formato documental y el reportaje televisivo, además de videos empresariales, educativos y el desarrollo de espacios televisivos .Servicios de grabación en Alta Definición y Cinematografía Digital, Edición y montaje en HD y 2K, postproducción, etalonaje, masterización en DVD y Blue Ray. Sala de postproducción en Hd y 2K.;;n.d.;;;01/10/2025
ALFER INSTALACIONES, S.L.;ALFER INSTALACIONES;POL. IND. GRANDA, NAVES 6-8, GRANDA 33199 SIERO ASTURIAS;http://www.alfercarpinteriametalica.com/;alfer@alfercarpinteriametalica.com;98.579.30.51;;98.579.37.10;Carpintería metálica.;;n.d.;;;31/07/2025
ALFREDO ESCALADA GONZALEZ, E.I.;ESCALADA;CARBAYERA, Nº 53. VILLAVERDE LES MARIÑES 33314 VILLAVICIOSA ASTURIAS;;joyas@alfredoescalada.com;;;;Joyas en oro, plata y azabache;;n.d.;;;31/07/2025
ALIMERKA, S.A.U.;ALIMERKA;POL. IND. ESPIRITU SANTO, C/ FINLANDIA, 2 33010 OVIEDO ASTURIAS;http://www.alimerka.es;buzon@alimerka.es;98.579.16.79;;98.598.50.72;Comercio al por mayor de café. Comercio mayorista de frutas y verduras. Comercio al por mayor de productos lácteos Comercio mayorista de productos de perfumería y droguería. Comercio mayorista de pescados. Centro logístico de productos alimentarios Comercio al por mayor de carne. Comercio al por mayor de azúcar, chocolate y confitería. Comercio al por mayor de bebidas. Productos alimenticios;;n.d.;;;01/10/2025
ALISYS DIGITAL, S.L.;ATIUN;C/ MENENDEZ VALDES, 40, 2º DCHA 33201 GIJON ASTURIAS;http://www.alisys.net;info@alisys.net;98.405.75.00;902.995.995;90.299.56.78;Agencia de Comunicación Interactiva: estrategia de comunicación y marketing on-line, desarrollo web, aplicaciones interactivas, usabilidad y accesibilidad y generación de contenidos. Operador de comunicaciones electrónicas. Servicios de centralitas virtuales, telecomunicaciones e inteligencia artificial Soluciones tecnológicas en marketing;;n.d.;si;si;31/07/2025
ALLGAIER MOGENSEN, S.L.U.;;CTRA. LOS CAMPOS -TRUBIA, KM. 1,2. 33416 CORVERA DE ASTURIAS ASTURIAS;https://mogensen.es/;info@almo.es;98.551.56.74;;98.557.88.57;Cribas, alimentadores, mesas neumáticas, lavado de arenas, decantadores, filtros prensa, sopladores de hollín. Comercialización de cribas, alimentadores, mesas densimétricas, grupos de lavado de arenas, decantadores, filtros prensa, sopladores de hollín.;;n.d.;si;si;31/07/2025
ALMA MARIA MUÑOZ GONZALEZ, E.I.;DOCUSER;CENTRO DE EMPRESAS DEL NALON, POL. IND. LA CENTRAL, OFIC. 301 - EL ENTREGO 33940 SAN MARTIN DEL REY AURELIO ASTURIAS;http://www.docuser.es;docuser@docuser.es;66.429.69.64;;;Ley Orgánica de Protección de Datos, destrucción de documentos confidenciales, digitalización certificada de documentos, factura electrónica.;;n.d.;;;31/07/2025
ALMACEN FABRICANTES REUNIDOS, S.L.;LA FACTORIA;POL. IND. PRONI MERES, CTRA. OVIEDO SANTANDER, KM. 7. MERES 33199 SIERO ASTURIAS;http://www.muebleslafactoria.info;factoria.jose@gmail.com;98.579.26.70;;98.579.26.71;Venta, comercializacion y distribucion de muebles, colchones y tapiceria.;;n.d.;si;;31/07/2025
ALMACENAJE Y TOTAL DISTRIBUCION LOGISTICA, S.L.;ATDL;CTRA. OVIEDO-SANTANDER, KM. 8. MERES 33199 SIERO ASTURIAS;https://www.atdl.es;informacion@atdl.es;96.011.88.01;;985792368;Prestación de todo tipo de servicios logísticos, de transporte y distribución.;;n.d.;;;31/07/2025
ALMACENES DELCA, S.A.;DELCA;AVDA. DE LOS CAMPONES, 155. POL. IND. LOS CAMPONES 33211 GIJON ASTURIAS;http://www.almacenesdelca.es;delca@almacenesdelca.es;98.517361.11;;;Venta de maquinaria y herramientas industriales Comercio al por mayor de toda clase de mercancías, accesorios industriales y de construcción, tornillería, material de protección, metrología, lubricantes, hidráulica y neumática;;n.d.;si;si;01/10/2025
ALMACENES Y ESPACIOS INDUSTRIALES, S.L.;AEI;PRINCIPE DE ASTURIAS, 1 - SALINAS 33405 CASTRILLON ASTURIAS;http://www.aeisl.es;administracion@aeisl.es;98.550.25.14;;98.550.25.15;Diseño, ingeniería y gestión de infraestructuras logísticas: Edificios y Equipamiento.;;n.d.;;;31/07/2025
ALQUIVISUALES, S.L.;ALQUISA;AVDA. DEL MAR, 82, BAJO 33011 OVIEDO ASTURIAS;http://www.alquisa.es;alquisa@alquisa.es;98.529.22.72;;98.528.42.05;Alquiler de equipos audiovisuales;;n.d.;;;31/07/2025
ALSA GRUPO, S.L.U.;ALSA;POL. ESPIRITU SANTO, C/ IRLANDA, PORTAL 5 33010 OVIEDO ASTURIAS;https://www.alsa.es/;alsa@alsa.es;98.596.96.44;;98.596.96.26;Transporte regular de viajeros por carretera y actividades anexas a los transportes.;;n.d.;;si;01/10/2025
ALSA INNOVACION Y PROYECTOS DE MOVILIDAD, S.L.;CENTRO DE INNOVACION DE ALSA;EDIFICIO IMPULSA - OFICINAS 4-5 PARQUE CIENTIFICO TECNOLOGICO LOS PRADOS, 166 33203 GIJON ASTURIAS;https://www.alsa.es/sobre-alsa/innovacion;innovacion@alsa.es;90.242.22.42;;;Actividades de I+D+i en materia de digitalización y sostenibilidad que deriven en nuevos productos y servicios de alta repercusión en el sector transporte.;;n.d.;;;31/07/2025
ALSERTRANS, S.L.;AST GRUPO;POL. IND. RIAÑO II, C/ LOS SOTOS. NAVE 29 33920 LANGREO ASTURIAS;http://www.astgrupo.com;ast@astgrupo.com;98.526.91.26;;98.526.72.65;Actividades industriales de limpieza. Tratamiento de aguas. Servicios de saneamiento de vías públicas y similares. Gestión de residuos;;n.d.;;;31/07/2025
ALTA SIERRA DE TINEO, S.COOP. ASTURIANA LIMITADA;ALTA SIERRA TINEO;ALTO DE FORCAYAO, S/N 33870 TINEO ASTURIAS;http://embutidosaltasierra.es/;ast@altasierra.es;98.580.61.00/590.95.94;;98.580.64.02;Embutidos y salazones: jamón, lacón, paletilla, chorizo, morcilla, lomo;;n.d.;;si;16/10/2025
ALTAMECA, S.L.;;CAMINO DEL PONTON, 254 NAVE 2, TREMAÑES 33211 GIJON ASTURIAS;http://www.altameca.com;altameca@altameca.com;98.531.64.54/32.13.09;;98.531.63.99;Mecanización, calderería mecanizada, montaje y puesta en marcha de bienes de equipo.;;n.d.;;;01/10/2025
ALUAL ALLANDE, S.L.;CARPINTERIA ALUAL;LUGAR CERECEDA, 11 33880 ALLANDE ASTURIAS;;alual@alual.es;98.580.70.25;;98.580.70.25;Carpintería del aluminio;;n.d.;;;31/07/2025
